neighbourhood,price
78732,1122.28
78733,960.01
78746,723.58
78756,588.53
78730,442.73
78703,435.46
78737,431.64
78738,426.55
78750,382.95
78734,380.23
78739,370.38
78704,289.55
78701,288.43
78702,284.48
78736,280.67
78731,276.68
78705,267.07
78712,261.0
78723,239.18
78726,210.38
78749,201.09
78758,198.21
78735,196.46
78722,192.89
78741,177.78
78759,168.92
78748,162.13
78757,159.79
78721,159.28
78745,152.9
78724,151.18
78752,140.73
78751,133.14
78728,131.86
78747,126.28
78744,118.91
78725,115.94
78729,106.59
78727,105.04
78717,104.49
78753,103.29
78754,100.49
78742,98.25
78719,92.5
