neighbourhood,price
West Englewood,537.67
Loop,251.99
Lake View,231.01
Near North Side,197.03
Oakland,186.5
Lincoln Park,181.25
West Town,179.35
North Center,165.37
Near South Side,155.67
Uptown,151.23
Near West Side,149.33
Kenwood,142.71
Mckinley Park,140.69
Logan Square,140.57
Douglas,139.52
Armour Square,132.94
Avondale,132.61
Burnside,132.5
Auburn Gresham,125.17
Hegewisch,124.67
Grand Boulevard,116.48
Irving Park,115.79
Edison Park,114.0
Rogers Park,112.77
Bridgeport,111.89
Edgewater,110.15
Lincoln Square,109.75
Portage Park,108.8
North Park,106.56
Lower West Side,105.95
South Chicago,103.43
Avalon Park,102.25
Garfield Ridge,102.2
Washington Park,101.79
Jefferson Park,98.73
Austin,97.69
Brighton Park,96.85
West Pullman,95.0
Roseland,94.29
Hyde Park,91.65
Englewood,90.27
Morgan Park,89.6
Albany Park,88.0
South Deering,87.5
Fuller Park,87.33
Belmont Cragin,87.0
Pullman,86.0
West Ridge,85.61
West Elsdon,85.5
Humboldt Park,85.29
Mount Greenwood,85.0
Ohare,84.38
Washington Heights,83.5
Archer Heights,82.83
Greater Grand Crossing,82.1
West Garfield Park,78.93
Forest Glen,78.83
South Shore,78.79
East Garfield Park,76.65
Montclare,75.33
East Side,75.0
Clearing,73.5
Dunning,73.12
Chatham,72.64
Ashburn,71.31
Norwood Park,69.76
Woodlawn,69.7
Hermosa,69.37
South Lawndale,69.0
New City,67.45
Beverly,66.86
Gage Park,64.8
Calumet Heights,52.85
Chicago Lawn,51.25
North Lawndale,50.93
West Lawn,37.9
Riverdale,37.67
