neighbourhood,price
Hampden South,386.94
Five Points,305.17
Civic Center,294.0
Auraria,285.0
Union Station,238.2
Highland,214.07
CBD,204.55
Belcaro,190.69
Jefferson Park,179.84
Cherry Creek,175.62
Washington Park,173.52
College View - South Platte,170.83
DIA,166.75
Sloan Lake,166.15
Harvey Park,165.2
University Park,164.92
Country Club,159.09
West Colfax,158.72
City Park West,157.4
Whittier,151.17
Stapleton,150.39
Lincoln Park,147.49
Hilltop,145.95
Hale,143.24
Bear Valley,142.27
Cory - Merrill,140.5
Sunnyside,140.45
Globeville,140.12
Washington Park West,136.06
West Highland,135.54
Platt Park,135.5
Berkeley,134.59
Cole,131.13
Capitol Hill,130.39
Baker,130.2
University Hills,125.32
North Capitol Hill,123.24
Congress Park,121.97
City Park,120.07
Rosedale,116.69
South Park Hill,116.55
Speer,116.26
Wellshire,115.0
Montclair,114.81
Cheesman Park,114.77
Villa Park,112.46
North Park Hill,110.92
Washington Virginia Vale,110.44
Athmar Park,110.33
Lowry Field,110.0
Elyria Swansea,109.9
Sun Valley,108.0
University,107.52
Skyland,105.33
Clayton,103.64
Hampden,102.21
Virginia Village,100.24
Regis,100.12
Westwood,96.0
Chaffee Park,94.78
Goldsmith,93.06
Barnum,92.89
Northeast Park Hill,92.63
Overland,92.29
Gateway - Green Valley Ranch,90.59
Kennedy,88.8
Barnum West,85.14
East Colfax,83.36
Windsor,80.67
Indian Creek,77.5
Mar Lee,77.23
Valverde,74.08
Southmoor Park,73.23
Montbello,71.0
Marston,67.92
Ruby Hill,63.78
Harvey Park South,59.4
Fort Logan,54.75
