neighbourhood,price
Rolling Hills,2667.6
Bel-Air,2609.46
Malibu,1638.75
Beverly Crest,1249.1
Hollywood Hills West,900.54
Beverly Hills,846.39
Westlake Village,740.15
Unincorporated Santa Monica Mountains,705.91
Florence-Firestone,639.22
Avalon,504.27
Southeast Antelope Valley,499.85
Encino,490.25
Pacific Palisades,411.2
Rancho Palos Verdes,376.46
Manhattan Beach,370.82
Brentwood,363.8
Commerce,352.25
Universal City,334.67
Topanga,329.35
Hollywood Hills,302.59
Lake Hughes,300.0
Hermosa Beach,299.81
Palos Verdes Estates,297.15
Beverly Grove,288.11
Studio City,288.04
Sherman Oaks,287.33
La Canada Flintridge,272.4
Fairfax,268.15
North Whittier,264.67
Gramercy Park,261.86
Venice,259.92
Tarzana,256.41
West Hills,251.2
Castaic Canyons,241.24
Hancock Park,239.02
Woodland Hills,236.55
Windsor Square,233.69
Playa del Rey,232.94
Marina del Rey,231.07
Agoura Hills,225.03
Agua Dulce,220.36
Unincorporated Santa Susana Mountains,219.4
San Marino,215.29
Pico-Robertson,211.74
Cheviot Hills,210.78
Whittier,209.33
Ladera Heights,208.42
Century City,203.32
Los Feliz,203.3
Stevenson Ranch,201.78
Valley Glen,199.84
Valley Village,198.9
West Hollywood,197.92
Green Valley,194.0
Central-Alameda,193.88
Angeles Crest,193.67
Tujunga Canyons,190.38
Toluca Lake,190.31
Santa Monica,189.69
Downtown,189.69
Unincorporated Catalina Island,188.89
Redondo Beach,188.2
Mar Vista,187.62
Carthay,184.95
Larchmont,183.84
Calabasas,183.37
Rolling Hills Estates,181.83
Reseda,181.77
Harbor City,180.11
Altadena,178.85
Beverlywood,177.38
Playa Vista,176.3
Sepulveda Basin,176.0
Westwood,172.56
San Dimas,170.37
Willowbrook,169.31
Granada Hills,169.18
South Pasadena,166.45
Claremont,166.43
East Pasadena,164.42
Florence,164.0
Chatsworth,163.69
Northeast Antelope Valley,162.89
Silver Lake,162.52
South Park,162.43
Culver City,161.65
Pasadena,159.44
Mid-Wilshire,155.95
Northridge,155.62
Glendale,154.19
Westchester,152.12
Hollywood,151.12
San Pasqual,148.0
San Pedro,147.8
Lopez/Kagel Canyons,147.5
Rosemead,147.44
Long Beach,146.77
Lake Balboa,146.72
West Whittier-Los Nietos,146.0
Sun Valley,145.85
Atwater Village,145.38
Del Rey,145.31
Eagle Rock,144.31
View Park-Windsor Hills,142.7
Mount Washington,142.54
North Hollywood,142.13
San Gabriel,139.56
La Habra Heights,139.53
Compton,139.4
Acton,139.0
Manchester Square,138.27
Torrance,136.75
Westlake,134.09
Walnut,133.84
Sierra Madre,133.08
Santa Clarita,133.02
Lake Los Angeles,132.86
Porter Ranch,132.53
Burbank,131.41
Glendora,131.22
