neighbourhood,price
District 17,299.69
District 2,272.98
District 23,260.35
District 5,238.88
District 21,230.79
District 18,228.34
District 11,226.87
District 19,214.59
District 24,203.88
District 6,198.87
District 25,195.32
District 20,194.24
District 16,192.6
District 34,190.38
District 15,190.27
District 10,180.54
District 33,169.47
District 7,161.07
District 8,151.52
District 1,150.13
District 14,139.0
District 26,136.33
District 13,134.6
District 3,134.51
District 35,124.64
District 9,121.53
District 4,114.84
District 30,114.45
District 27,111.12
District 32,111.09
District 22,107.08
District 31,100.69
District 28,98.5
District 29,94.82
District 12,81.85
