neighbourhood,price
Fort Wadsworth,800.0
Woodrow,700.0
Sea Gate,400.15
Prince's Bay,397.5
Flatiron District,393.24
Tribeca,383.8
Briarwood,381.97
Financial District,334.5
Fieldston,324.9
Tottenville,309.0
Willowbrook,309.0
Midtown,301.5
Neponsit,275.0
Battery Park City,271.17
SoHo,270.19
Theater District,262.92
Greenwich Village,250.48
NoHo,250.4
Riverdale,248.6
West Village,234.8
Arverne,231.51
Cambria Heights,229.25
Breezy Point,228.67
Jamaica Estates,227.73
Todt Hill,227.67
Vinegar Hill,221.0
Little Italy,219.72
Chelsea,218.65
Murray Hill,215.76
Brooklyn Heights,199.97
Lower East Side,197.23
Kips Bay,196.22
Upper West Side,195.55
Cobble Hill,194.75
Randall Manor,193.15
Hell's Kitchen,192.27
Belle Harbor,191.67
Boerum Hill,190.76
Gramercy,188.05
Upper East Side,185.92
Nolita,184.16
DUMBO,181.18
Huguenot,180.0
Clinton Hill,179.85
Carroll Gardens,174.3
East Village,172.67
Columbia St,171.18
Holliswood,171.0
Stuyvesant Town,169.04
Park Slope,168.21
Gowanus,164.27
Cypress Hills,163.65
Douglaston,158.56
Eastchester,158.4
Eltingville,155.75
Fort Greene,155.33
Civic Center,153.21
Red Hook,149.65
Rockaway Beach,148.78
Lighthouse Hill,147.5
Downtown Brooklyn,146.8
Howland Hook,144.67
Sheepshead Bay,144.22
South Slope,143.84
Shore Acres,143.67
Long Island City,143.2
Far Rockaway,143.14
Prospect Heights,142.59
Greenpoint,141.56
Chinatown,140.88
East Harlem,139.02
Howard Beach,137.71
Grymes Hill,136.38
Bayside,136.21
Pelham Bay,135.46
Unionport,134.69
Williamsburg,133.11
Westerleigh,130.0
Whitestone,129.64
Middle Village,129.37
Brighton Beach,127.25
Windsor Terrace,125.44
Fresh Meadows,124.97
St. George,123.84
City Island,123.8
Forest Hills,123.65
Rosebank,123.25
Dongan Hills,119.4
Bergen Beach,119.21
Arden Heights,119.2
Harlem,118.62
Manhattan Beach,117.45
Castleton Corners,117.0
Arrochar,116.5
Stapleton,115.15
Spuyten Duyvil,114.5
Kew Gardens Hills,113.47
Crown Heights,112.63
Pelham Gardens,110.79
Bay Terrace,110.2
Williamsbridge,110.0
Brownsville,109.72
Mott Haven,109.43
Oakwood,109.4
Navy Yard,109.31
Two Bridges,108.6
Sunset Park,108.26
Kew Gardens,108.21
Bedford-Stuyvesant,107.42
Prospect-Lefferts Gardens,106.94
Edenwald,105.88
Mill Basin,105.56
Van Nest,105.47
Springfield Gardens,105.16
Wakefield,104.93
Canarsie,104.87
Morningside Heights,103.88
New Dorp,103.33
College Point,100.85
Washington Heights,100.65
Fort Hamilton,100.36
Roosevelt Island,100.1
East New York,100.1
Gerritsen Beach,100.0
Woodlawn,99.75
Bay Ridge,98.73
Laurelton,98.36
Astoria,98.13
Bayswater,97.88
Rego Park,97.08
Queens Village,96.69
Kensington,96.68
Flushing,96.66
Allerton,96.6
St. Albans,96.56
Ditmars Steinway,96.44
Midland Beach,96.22
Gravesend,96.12
Flatbush,95.92
Longwood,95.28
Flatlands,94.45
Edgemere,93.8
North Riverdale,93.71
South Ozone Park,93.31
Jamaica,93.15
Coney Island,92.36
Throgs Neck,92.34
Morris Heights,91.81
Port Morris,91.35
Clifton,91.2
Castle Hill,91.0
Marble Hill,90.62
Clason Point,90.36
Kingsbridge,90.31
Richmond Hill,89.96
Maspeth,89.13
Bellerose,88.8
West Brighton,88.79
Mount Hope,87.79
East Morrisania,87.67
East Flatbush,86.88
Bath Beach,86.67
Dyker Heights,85.5
Ozone Park,85.24
Concord,84.91
Morrisania,84.38
Concourse,84.2
Claremont Village,84.19
Tompkinsville,83.84
Bushwick,83.74
Mariners Harbor,83.64
Sunnyside,83.18
Parkchester,82.96
East Elmhurst,81.7
Ridgewood,81.64
Silver Lake,81.25
Westchester Square,80.5
Rosedale,80.31
Midwood,80.08
Tremont,79.71
Hollis,79.0
Inwood,78.64
Baychester,78.54
New Dorp Beach,78.0
Graniteville,78.0
Fordham,77.83
New Springville,77.4
Jackson Heights,77.25
Richmondtown,77.0
Jamaica Hills,76.62
Bensonhurst,75.75
Mount Eden,75.25
Norwood,75.11
Highbridge,74.25
Emerson Hill,73.8
Woodhaven,72.7
Elmhurst,72.54
Morris Park,71.96
Corona,70.69
West Farms,70.0
Little Neck,69.75
Grant City,68.57
Great Kills,68.33
Borough Park,66.97
Concourse Village,66.68
Melrose,65.33
Bronxdale,62.3
Glendale,62.09
Co-op City,61.33
Schuylerville,60.0
Rossville,60.0
Woodside,59.61
Olinville,59.12
Belmont,58.8
University Heights,57.91
Hunts Point,56.32
Soundview,56.13
New Brighton,55.0
Port Richmond,51.11
Bull's Head,49.67
South Beach,48.75
"Bay Terrace, Staten Island",40.0
