neighbourhood,price
Golden Gate Park,1294.0
Financial District,1179.05
Chinatown,606.16
Presidio Heights,379.28
Downtown/Civic Center,341.45
Russian Hill,327.11
Pacific Heights,323.38
Seacliff,322.35
Marina,322.23
Twin Peaks,303.87
Glen Park,265.08
Castro/Upper Market,247.53
Inner Sunset,246.79
Diamond Heights,231.3
Potrero Hill,229.52
Western Addition,217.01
Noe Valley,213.77
South of Market,210.11
North Beach,207.61
Outer Richmond,203.34
Nob Hill,199.36
Inner Richmond,198.47
Haight Ashbury,195.12
Mission,192.72
Bernal Heights,183.62
West of Twin Peaks,174.37
Outer Mission,159.99
Parkside,142.18
Visitacion Valley,140.82
Outer Sunset,133.84
Lakeshore,122.74
Presidio,120.0
Ocean View,114.54
Bayview,114.38
Excelsior,107.12
Crocker Amazon,103.76
